Player_Name,Player_Role,Hero_Pick,KDA,Gold,Level,Partisipation,Damage_Dealt,Damage_Taken,Damage_Turret,mu_KDA,mu_Gold,mu_Level,mu_Partisipation,mu_Damage_Dealt,mu_Damage_Taken,mu_Damage_Turret
Sanz,Midlane,Pharsa,13.0,13585,15,0.68,80669,42881,1779,"[0, 0.45, 0.55]","[0, 0.59, 0.41]","[0, 0, 1.0]","[0.14, 0.86, 0]","[0, 0.89, 0.11]","[0.14, 0.86, 0]","[0, 0.96, 0.04]"
Clawkun,Midlane,Valentina,1.8,12192,15,0.82,73512,78733,1854,"[0.74, 0.26, 0]","[0, 0.77, 0.23]","[0, 0, 1.0]","[0, 0.88, 0.12]","[0, 0.95, 0.05]","[0, 0.54, 0.46]","[0, 0.94, 0.06]"
Clawkun,Midlane,Faramis,14.0,10496,15,0.82,65938,57691,2080,"[0, 0.36, 0.64]","[0, 0.99, 0.01]","[0, 0, 1.0]","[0, 0.88, 0.12]","[0.03, 0.97, 0]","[0, 0.86, 0.14]","[0, 0.89, 0.11]"
Sanz,Midlane,Valentina,0.0,11998,15,0.0,65437,50191,368,"[1.0, 0, 0]","[0, 0.79, 0.21]","[0, 0, 1.0]","[1.0, 0, 0]","[0.04, 0.96, 0]","[0, 0.98, 0.02]","[0.77, 0.23, 0]"
Clawkun,Midlane,Faramis,10.0,10569,15,0.91,52270,58327,526,"[0, 0.72, 0.28]","[0, 0.98, 0.02]","[0, 0, 1.0]","[0, 0.44, 0.56]","[0.32, 0.68, 0]","[0, 0.85, 0.15]","[0.67, 0.33, 0]"
Clawkun,Midlane,Valentina,2.0,7650,14,0.89,36262,48107,0,"[0.71, 0.29, 0]","[0.48, 0.52, 0]","[0.08, 0.92, 0]","[0, 0.54, 0.46]","[0.67, 0.33, 0]","[0.01, 0.99, 0]","[1.0, 0, 0]"
Vyn,Roamer,Minotaur,0.6,4246,10,0.75,12750,64067,0,"[0.96, 0.04, 0]","[1.0, 0, 0]","[1.0, 0, 0]","[0, 0.91, 0.09]","[0.66, 0.34, 0]","[0.67, 0.33, 0]","[1.0, 0, 0]"
Vyn,Roamer,Chip,2.0,9666,15,0.63,35082,146990,38,"[0.41, 0.59, 0]","[0, 0.76, 0.24]","[0, 0, 1.0]","[0.26, 0.74, 0]","[0, 0.55, 0.45]","[0, 0.56, 0.44]","[0.94, 0.06, 0]"
Baloyskie,Roamer,Franco,3.4,8745,15,0.81,15752,118654,745,"[0, 0.95, 0.05]","[0, 0.92, 0.08]","[0, 0, 1.0]","[0, 0.69, 0.31]","[0.46, 0.54, 0]","[0, 0.84, 0.16]","[0, 0.96, 0.04]"
Vyn,Roamer,Minotaur,2.9,10600,15,0.87,24267,137959,1294,"[0.05, 0.95, 0]","[0, 0.59, 0.41]","[0, 0, 1.0]","[0, 0.47, 0.53]","[0, 0.95, 0.05]","[0, 0.65, 0.35]","[0, 0.8, 0.2]"
Dreams,Roamer,Minotaur,2.0,7733,13,0.8,12391,88890,2663,"[0.41, 0.59, 0]","[0.14, 0.86, 0]","[0.23, 0.77, 0]","[0, 0.73, 0.27]","[0.68, 0.32, 0]","[0.23, 0.77, 0]","[0, 0.42, 0.58]"
Kiboy,Roamer,Chip,1.6,8523,15,0.65,35643,119197,29,"[0.57, 0.43, 0]","[0, 0.96, 0.04]","[0, 0, 1.0]","[0.21, 0.79, 0]","[0, 0.53, 0.47]","[0, 0.83, 0.17]","[0.95, 0.05, 0]"
Baloyskie,Roamer,Ruby,3.2,8283,14,0.68,16158,79326,0,"[0, 0.98, 0.02]","[0.0, 1.0, 0]","[0, 0.89, 0.11]","[0.12, 0.88, 0]","[0.44, 0.56, 0]","[0.4, 0.6, 0]","[1.0, 0, 0]"
Kiboy,Roamer,Chip,1.9,8981,15,0.68,43115,199187,0,"[0.45, 0.55, 0]","[0, 0.88, 0.12]","[0, 0, 1.0]","[0.12, 0.88, 0]","[0, 0.26, 0.74]","[0, 0.05, 0.95]","[1.0, 0, 0]"
Baloyskie,Roamer,Ruby,1.5,9909,15,0.5,16530,127021,1588,"[0.6, 0.4, 0]","[0, 0.72, 0.28]","[0, 0, 1.0]","[0.62, 0.38, 0]","[0.41, 0.59, 0]","[0, 0.76, 0.24]","[0, 0.72, 0.28]"
Kiboy,Roamer,Ruby,4.0,9721,15,0.76,25765,102078,1414,"[0, 0.86, 0.14]","[0, 0.75, 0.25]","[0, 0, 1.0]","[0, 0.87, 0.13]","[0, 0.9, 0.1]","[0.0, 1.0, 0]","[0, 0.77, 0.23]"
Baloyskie,Roamer,Franco,1.6,8267,15,0.73,16785,90117,0,"[0.57, 0.43, 0]","[0.01, 0.99, 0]","[0, 0, 1.0]","[0, 0.98, 0.02]","[0.4, 0.6, 0]","[0.21, 0.79, 0]","[1.0, 0, 0]"
Kiboy,Roamer,Edith,2.0,7419,14,0.75,20789,89495,696,"[0.41, 0.59, 0]","[0.22, 0.78, 0]","[0, 0.89, 0.11]","[0, 0.91, 0.09]","[0.14, 0.86, 0]","[0.22, 0.78, 0]","[0, 0.97, 0.03]"
Kyy,Roamer,Franco,1.0,5135,11,0.8,10031,53819,0,"[0.8, 0.2, 0]","[0.78, 0.22, 0]","[0.74, 0.26, 0]","[0, 0.73, 0.27]","[0.83, 0.17, 0]","[0.85, 0.15, 0]","[1.0, 0, 0]"
Dreams,Roamer,Minotaur,7.0,7472,14,0.82,22360,79755,724,"[0, 0.43, 0.57]","[0.2, 0.8, 0]","[0, 0.89, 0.11]","[0, 0.66, 0.34]","[0.04, 0.96, 0]","[0.39, 0.61, 0]","[0, 0.96, 0.04]"
Kyy,Roamer,Chip,1.0,5929,12,0.75,32814,117822,0,"[0.8, 0.2, 0]","[0.58, 0.42, 0]","[0.48, 0.52, 0]","[0, 0.91, 0.09]","[0, 0.64, 0.36]","[0, 0.85, 0.15]","[1.0, 0, 0]"
Dreams,Roamer,Edith,3.8,9220,15,0.88,37426,80070,4157,"[0, 0.89, 0.11]","[0, 0.84, 0.16]","[0, 0, 1.0]","[0, 0.44, 0.56]","[0, 0.47, 0.53]","[0.39, 0.61, 0]","[0, 0, 1.0]"
Kyy,Roamer,Chip,5.7,8368,14,0.85,42622,112275,960,"[0, 0.62, 0.38]","[0, 0.99, 0.01]","[0, 0.89, 0.11]","[0, 0.55, 0.45]","[0, 0.28, 0.72]","[0, 0.9, 0.1]","[0, 0.9, 0.1]"
Kyy,Roamer,Edith,2.0,5493,11,0.67,14798,45323,590,"[0.41, 0.59, 0]","[0.69, 0.31, 0]","[0.74, 0.26, 0]","[0.15, 0.85, 0]","[0.53, 0.47, 0]","[1.0, 0, 0]","[0.0, 1.0, 0]"
Kyy,Roamer,Chip,1.0,7428,13,0.67,37873,99514,0,"[0.8, 0.2, 0]","[0.21, 0.79, 0]","[0.23, 0.77, 0]","[0.15, 0.85, 0]","[0, 0.45, 0.55]","[0.05, 0.95, 0]","[1.0, 0, 0]"
Kyy,Roamer,Minotaur,0.5,11130,15,0.43,17575,193739,0,"[1.0, 0, 0]","[0, 0.5, 0.5]","[0, 0, 1.0]","[0.81, 0.19, 0]","[0.35, 0.65, 0]","[0, 0.1, 0.9]","[1.0, 0, 0]"
Baloyskie,Roamer,Chip,6.5,12626,15,0.87,44204,177644,114,"[0, 0.5, 0.5]","[0, 0.24, 0.76]","[0, 0, 1.0]","[0, 0.47, 0.53]","[0, 0.22, 0.78]","[0, 0.26, 0.74]","[0.81, 0.19, 0]"
Dreams,Roamer,Edith,1.0,6087,11,0.8,19042,68891,0,"[0.8, 0.2, 0]","[0.55, 0.45, 0]","[0.74, 0.26, 0]","[0, 0.73, 0.27]","[0.25, 0.75, 0]","[0.59, 0.41, 0]","[1.0, 0, 0]"
Kiboy,Roamer,Ruby,6.0,6831,13,0.86,18949,64048,795,"[0, 0.57, 0.43]","[0.36, 0.64, 0]","[0.23, 0.77, 0]","[0, 0.51, 0.49]","[0.26, 0.74, 0]","[0.67, 0.33, 0]","[0, 0.94, 0.06]"
Dreams,Roamer,Edith,0.5,5858,12,0.4,17570,46934,0,"[1.0, 0, 0]","[0.6, 0.4, 0]","[0.48, 0.52, 0]","[0.89, 0.11, 0]","[0.35, 0.65, 0]","[0.97, 0.03, 0]","[1.0, 0, 0]"
Kiboy,Roamer,Edith,3.3,5897,11,0.71,16316,54152,542,"[0, 0.96, 0.04]","[0.59, 0.41, 0]","[0.74, 0.26, 0]","[0.04, 0.96, 0]","[0.43, 0.57, 0]","[0.84, 0.16, 0]","[0.08, 0.92, 0]"
Dreams,Roamer,Ruby,1.0,8117,15,0.71,24232,91100,0,"[0.8, 0.2, 0]","[0.04, 0.96, 0]","[0, 0, 1.0]","[0.04, 0.96, 0]","[0, 0.95, 0.05]","[0.19, 0.81, 0]","[1.0, 0, 0]"
Baloyskie,Roamer,Edith,5.7,10635,15,0.81,35313,116451,3840,"[0, 0.62, 0.38]","[0, 0.59, 0.41]","[0, 0, 1.0]","[0, 0.69, 0.31]","[0, 0.55, 0.45]","[0, 0.86, 0.14]","[0, 0.09, 0.91]"
Dreams,Roamer,Chip,8.0,7469,14,0.53,26888,53273,292,"[0, 0.29, 0.71]","[0.2, 0.8, 0]","[0, 0.89, 0.11]","[0.53, 0.47, 0]","[0, 0.86, 0.14]","[0.86, 0.14, 0]","[0.51, 0.49, 0]"
Baloyskie,Roamer,Minotaur,0.7,6511,12,1.0,7422,72987,0,"[0.92, 0.08, 0]","[0.44, 0.56, 0]","[0.48, 0.52, 0]","[0, 0, 1.0]","[1.0, 0, 0]","[0.51, 0.49, 0]","[1.0, 0, 0]"
Baloyskie,Roamer,Ruby,4.3,8571,15,0.81,18013,75562,164,"[0, 0.82, 0.18]","[0, 0.95, 0.05]","[0, 0, 1.0]","[0, 0.69, 0.31]","[0.32, 0.68, 0]","[0.47, 0.53, 0]","[0.72, 0.28, 0]"
Dreams,Roamer,Minotaur,4.0,9750,15,0.67,20710,135629,0,"[0, 0.86, 0.14]","[0, 0.74, 0.26]","[0, 0, 1.0]","[0.15, 0.85, 0]","[0.15, 0.85, 0]","[0, 0.67, 0.33]","[1.0, 0, 0]"
Baloyskie,Roamer,Ruby,1.0,7897,15,0.36,15317,103851,806,"[0.8, 0.2, 0]","[0.1, 0.9, 0]","[0, 0, 1.0]","[1.0, 0, 0]","[0.49, 0.51, 0]","[0, 0.98, 0.02]","[0, 0.94, 0.06]"
Dreams,Roamer,Chip,2.0,13957,15,0.67,50114,204203,155,"[0.41, 0.59, 0]","[0, 0, 1.0]","[0, 0, 1.0]","[0.15, 0.85, 0]","[0, 0, 1.0]","[0, 0, 1.0]","[0.74, 0.26, 0]"
Kiboy,Roamer,Ruby,0.6,6690,13,0.78,18745,86955,0,"[0.96, 0.04, 0]","[0.4, 0.6, 0]","[0.23, 0.77, 0]","[0, 0.8, 0.2]","[0.27, 0.73, 0]","[0.27, 0.73, 0]","[1.0, 0, 0]"
Dreams,Roamer,Minotaur,4.0,7511,14,0.78,8422,73050,150,"[0, 0.86, 0.14]","[0.19, 0.81, 0]","[0, 0.89, 0.11]","[0, 0.8, 0.2]","[0.94, 0.06, 0]","[0.51, 0.49, 0]","[0.75, 0.25, 0]"
Kiboy,Roamer,Edith,7.0,9619,15,0.78,37189,120603,2127,"[0, 0.43, 0.57]","[0, 0.77, 0.23]","[0, 0, 1.0]","[0, 0.8, 0.2]","[0, 0.48, 0.52]","[0, 0.82, 0.18]","[0, 0.57, 0.43]"
Dreams,Roamer,Ruby,1.8,8942,15,0.78,11998,94651,0,"[0.49, 0.51, 0]","[0, 0.89, 0.11]","[0, 0, 1.0]","[0, 0.8, 0.2]","[0.71, 0.29, 0]","[0.13, 0.87, 0]","[1.0, 0, 0]"
Dreams,Roamer,Minotaur,1.8,9586,15,0.64,16780,180854,0,"[0.49, 0.51, 0]","[0, 0.77, 0.23]","[0, 0, 1.0]","[0.23, 0.77, 0]","[0.4, 0.6, 0]","[0, 0.23, 0.77]","[1.0, 0, 0]"
Kiboy,Roamer,Ruby,1.3,6683,13,0.8,18743,86952,0,"[0.68, 0.32, 0]","[0.4, 0.6, 0]","[0.23, 0.77, 0]","[0, 0.73, 0.27]","[0.27, 0.73, 0]","[0.27, 0.73, 0]","[1.0, 0, 0]"
Dreams,Roamer,Franco,5.0,7913,15,0.59,10605,54415,157,"[0, 0.72, 0.28]","[0.1, 0.9, 0]","[0, 0, 1.0]","[0.37, 0.63, 0]","[0.8, 0.2, 0]","[0.84, 0.16, 0]","[0.73, 0.27, 0]"
Dreams,Roamer,Franco,10.0,10843,15,0.91,14962,80277,162,"[0, 0, 1.0]","[0, 0.55, 0.45]","[0, 0, 1.0]","[0, 0.33, 0.67]","[0.52, 0.48, 0]","[0.38, 0.62, 0]","[0.73, 0.27, 0]"
Luke,Explane,Yu Zhong,1.2,8831,15,0.4,44568,114057,0,"[0.73, 0.27, 0]","[0.3, 0.7, 0]","[0, 0, 1.0]","[0.38, 0.62, 0]","[0, 0.96, 0.04]","[0, 0.93, 0.07]","[1.0, 0, 0]"
Donn,Explane,Yu Zhong,2.7,11032,15,0.8,25818,87731,2631,"[0.4, 0.6, 0]","[0, 0.9, 0.1]","[0, 0, 1.0]","[0, 0.56, 0.44]","[0.56, 0.44, 0]","[0.19, 0.81, 0]","[0, 0.99, 0.01]"
Fluffy,Explane,Yu Zhong,6.0,20176,15,0.6,35374,189351,3651,"[0, 0.9, 0.1]","[0, 0, 1.0]","[0, 0, 1.0]","[0.07, 0.93, 0]","[0.23, 0.77, 0]","[0, 0.51, 0.49]","[0, 0.87, 0.13]"
Aran,Explane,Cici,7.0,8646,14,0.64,50822,72242,142,"[0, 0.83, 0.17]","[0.35, 0.65, 0]","[0.15, 0.85, 0]","[0.01, 0.99, 0]","[0, 0.86, 0.14]","[0.39, 0.61, 0]","[0.94, 0.06, 0]"
Fluffy,Explane,Terizla,6.0,9239,15,0.6,34747,125683,2008,"[0, 0.9, 0.1]","[0.2, 0.8, 0]","[0, 0, 1.0]","[0.07, 0.93, 0]","[0.26, 0.74, 0]","[0, 0.87, 0.13]","[0.2, 0.8, 0]"
Aran,Explane,Cici,0.7,6118,12,0.5,13094,36434,0,"[0.84, 0.16, 0]","[1.0, 0, 0]","[1.0, 0, 0]","[0.22, 0.78, 0]","[1.0, 0, 0]","[0.85, 0.15, 0]","[1.0, 0, 0]"
Fluffy,Explane,Yu Zhong,3.0,7331,13,0.33,24296,25127,4516,"[0.33, 0.67, 0]","[0.69, 0.31, 0]","[0.57, 0.43, 0]","[0.49, 0.51, 0]","[0.62, 0.38, 0]","[1.0, 0, 0]","[0, 0.77, 0.23]"
Lutpiii,Explane,Cici,2.8,11038,15,0.55,32879,74225,2386,"[0.38, 0.62, 0]","[0, 0.9, 0.1]","[0, 0, 1.0]","[0.15, 0.85, 0]","[0.32, 0.68, 0]","[0.36, 0.64, 0]","[0.05, 0.95, 0]"
Luke,Explane,Xborg,5.5,10626,15,0.58,56009,85261,0,"[0, 0.93, 0.07]","[0, 0.94, 0.06]","[0, 0, 1.0]","[0.1, 0.9, 0]","[0, 0.77, 0.23]","[0.22, 0.78, 0]","[1.0, 0, 0]"
Luke,Explane,Masha,0.8,12226,15,0.33,61367,77728,7935,"[0.82, 0.18, 0]","[0, 0.78, 0.22]","[0, 0, 1.0]","[0.49, 0.51, 0]","[0, 0.68, 0.32]","[0.32, 0.68, 0]","[0, 0.38, 0.62]"
Lutpiii,Explane,Cici,1.0,8362,14,0.75,47836,130372,3546,"[0.78, 0.22, 0]","[0.42, 0.58, 0]","[0.15, 0.85, 0]","[0, 0.7, 0.3]","[0, 0.91, 0.09]","[0, 0.84, 0.16]","[0, 0.88, 0.12]"
Luke,Explane,Xborg,1.3,10784,15,0.73,74407,124641,0,"[0.71, 0.29, 0]","[0, 0.92, 0.08]","[0, 0, 1.0]","[0, 0.76, 0.24]","[0, 0.46, 0.54]","[0, 0.87, 0.13]","[1.0, 0, 0]"
Lutpiii,Explane,Xborg,7.0,9049,15,0.88,54316,112594,1926,"[0, 0.83, 0.17]","[0.25, 0.75, 0]","[0, 0, 1.0]","[0, 0.34, 0.66]","[0, 0.8, 0.2]","[0, 0.94, 0.06]","[0.23, 0.77, 0]"
Xorizo,Explane,Cici,1.2,6966,13,1.0,39976,67613,2998,"[0.73, 0.27, 0]","[0.78, 0.22, 0]","[0.57, 0.43, 0]","[0, 0, 1.0]","[0.08, 0.92, 0]","[0.45, 0.55, 0]","[0, 0.94, 0.06]"
Fluffy,Explane,Yu Zhong,12.0,9128,15,0.71,34973,93874,699,"[0, 0.48, 0.52]","[0.23, 0.77, 0]","[0, 0, 1.0]","[0, 0.81, 0.19]","[0.25, 0.75, 0]","[0.11, 0.89, 0]","[0.72, 0.28, 0]"
Fluffy,Explane,Terizla,6.5,9692,15,0.76,34994,92175,1323,"[0, 0.86, 0.14]","[0.08, 0.92, 0]","[0, 0, 1.0]","[0, 0.67, 0.33]","[0.25, 0.75, 0]","[0.13, 0.87, 0]","[0.47, 0.53, 0]"
Xorizo,Explane,Cici,19.0,11116,15,0.95,76184,132874,11298,"[0, 0, 1.0]","[0, 0.89, 0.11]","[0, 0, 1.0]","[0, 0.14, 0.86]","[0, 0.43, 0.57]","[0, 0.83, 0.17]","[0, 0, 1.0]"
Xorizo,Explane,Terizla,1.3,6762,12,0.67,18170,54506,1960,"[0.71, 0.29, 0]","[0.83, 0.17, 0]","[1.0, 0, 0]","[0, 0.93, 0.07]","[0.83, 0.17, 0]","[0.62, 0.38, 0]","[0.22, 0.78, 0]"
Fluffy,Explane,Yu Zhong,8.0,8182,13,0.8,19328,50130,616,"[0, 0.76, 0.24]","[0.47, 0.53, 0]","[0.57, 0.43, 0]","[0, 0.56, 0.44]","[0.79, 0.21, 0]","[0.68, 0.32, 0]","[0.75, 0.25, 0]"
Xorizo,Explane,Cici,2.7,9302,15,0.89,39393,98130,4723,"[0.4, 0.6, 0]","[0.18, 0.82, 0]","[0, 0, 1.0]","[0, 0.31, 0.69]","[0.1, 0.9, 0]","[0.05, 0.95, 0]","[0, 0.75, 0.25]"
Luke,Explane,Masha,6.5,9991,15,0.62,50648,55992,2336,"[0, 0.86, 0.14]","[0.0, 1.0, 0]","[0, 0, 1.0]","[0.04, 0.96, 0]","[0, 0.86, 0.14]","[0.6, 0.4, 0]","[0.07, 0.93, 0]"
Luke,Explane,Masha,2.0,9976,15,0.44,38726,88361,86,"[0.55, 0.45, 0]","[0.01, 0.99, 0]","[0, 0, 1.0]","[0.32, 0.68, 0]","[0.12, 0.88, 0]","[0.18, 0.82, 0]","[0.97, 0.03, 0]"
Fluffy,Explane,Terizla,1.3,6595,12,0.8,26044,75895,0,"[0.71, 0.29, 0]","[0.88, 0.12, 0]","[1.0, 0, 0]","[0, 0.56, 0.44]","[0.56, 0.44, 0]","[0.34, 0.66, 0]","[1.0, 0, 0]"
Lutpiii,Explane,Cici,10.0,7577,13,0.71,39394,62917,6842,"[0, 0.62, 0.38]","[0.62, 0.38, 0]","[0.57, 0.43, 0]","[0, 0.81, 0.19]","[0.1, 0.9, 0]","[0.51, 0.49, 0]","[0, 0.51, 0.49]"
Luke,Explane,Masha,4.0,12712,15,0.38,42852,50249,2996,"[0.11, 0.89, 0]","[0, 0.73, 0.27]","[0, 0, 1.0]","[0.41, 0.59, 0]","[0, 0.99, 0.01]","[0.67, 0.33, 0]","[0, 0.95, 0.05]"
Fluffy,Explane,Xborg,12.0,9966,15,0.8,30470,83352,3098,"[0, 0.48, 0.52]","[0.01, 0.99, 0]","[0, 0, 1.0]","[0, 0.56, 0.44]","[0.4, 0.6, 0]","[0.24, 0.76, 0]","[0, 0.93, 0.07]"
Luke,Explane,Yu Zhong,0.0,7740,13,0.0,23889,60481,0,"[1.0, 0, 0]","[0.58, 0.42, 0]","[0.57, 0.43, 0]","[1.0, 0, 0]","[0.63, 0.37, 0]","[0.54, 0.46, 0]","[1.0, 0, 0]"
Fluffy,Explane,Masha,2.2,9664,15,0.9,34123,87561,2005,"[0.51, 0.49, 0]","[0.09, 0.91, 0]","[0, 0, 1.0]","[0, 0.28, 0.72]","[0.28, 0.72, 0]","[0.19, 0.81, 0]","[0.2, 0.8, 0]"
Fluffy,Explane,Yu Zhong,2.4,12427,15,0.67,40279,116771,666,"[0.47, 0.53, 0]","[0, 0.76, 0.24]","[0, 0, 1.0]","[0, 0.93, 0.07]","[0.07, 0.93, 0]","[0, 0.92, 0.08]","[0.74, 0.26, 0]"
Fluffy,Explane,Terizla,1.6,14630,15,0.44,62507,280704,506,"[0.64, 0.36, 0]","[0, 0.55, 0.45]","[0, 0, 1.0]","[0.32, 0.68, 0]","[0, 0.66, 0.34]","[0, 0, 1.0]","[0.8, 0.2, 0]"
Fluffy,Explane,Terizla,5.0,7018,14,0.56,32987,150563,0,"[0, 0.96, 0.04]","[0.77, 0.23, 0]","[0.15, 0.85, 0]","[0.13, 0.87, 0]","[0.32, 0.68, 0]","[0, 0.73, 0.27]","[1.0, 0, 0]"
Fluffy,Explane,Terizla,1.0,9466,15,0.56,25947,151172,300,"[0.78, 0.22, 0]","[0.14, 0.86, 0]","[0, 0, 1.0]","[0.13, 0.87, 0]","[0.56, 0.44, 0]","[0, 0.73, 0.27]","[0.88, 0.12, 0]"
Lutpiii,Explane,Masha,5.5,15683,15,0.58,71355,63950,7498,"[0, 0.93, 0.07]","[0, 0.44, 0.56]","[0, 0, 1.0]","[0.1, 0.9, 0]","[0, 0.51, 0.49]","[0.5, 0.5, 0]","[0, 0.43, 0.57]"
Fluffy,Explane,Terizla,1.6,9855,15,0.73,39615,223498,0,"[0.64, 0.36, 0]","[0.04, 0.96, 0]","[0, 0, 1.0]","[0, 0.76, 0.24]","[0.09, 0.91, 0]","[0, 0.32, 0.68]","[1.0, 0, 0]"
Lutpiii,Explane,Terizla,0.7,7018,13,0.8,32985,150563,0,"[0.84, 0.16, 0]","[0.77, 0.23, 0]","[0.57, 0.43, 0]","[0, 0.56, 0.44]","[0.32, 0.68, 0]","[0, 0.73, 0.27]","[1.0, 0, 0]"
Fluffy,Explane,Xborg,9.0,15039,15,0.82,101879,158483,7104,"[0, 0.69, 0.31]","[0, 0.51, 0.49]","[0, 0, 1.0]","[0, 0.5, 0.5]","[0, 0, 1.0]","[0, 0.68, 0.32]","[0, 0.48, 0.52]"
Lutpiii,Explane,Cici,9.0,11716,15,0.61,56389,90681,7956,"[0, 0.69, 0.31]","[0, 0.83, 0.17]","[0, 0, 1.0]","[0.05, 0.95, 0]","[0, 0.76, 0.24]","[0.15, 0.85, 0]","[0, 0.38, 0.62]"
Fluffy,Explane,Xborg,1.0,8594,14,0.56,35298,83903,1755,"[0.78, 0.22, 0]","[0.36, 0.64, 0]","[0.15, 0.85, 0]","[0.13, 0.87, 0]","[0.24, 0.76, 0]","[0.24, 0.76, 0]","[0.3, 0.7, 0]"
Skylar,Goldlane,Roger,1.0,6093,11,0.5,15503,36655,175,"[0.92, 0.08, 0]","[0.98, 0.02, 0]","[0.79, 0.21, 0]","[0.5, 0.5, 0]","[1.0, 0, 0]","[0.46, 0.54, 0]","[0.98, 0.02, 0]"
Skylar,Goldlane,Karrie,1.5,10455,15,0.6,17618,51520,8781,"[0.83, 0.17, 0]","[0.41, 0.59, 0]","[0, 0, 1.0]","[0.21, 0.79, 0]","[0.95, 0.05, 0]","[0.1, 0.9, 0]","[0.24, 0.76, 0]"
Caderaa,Goldlane,Natan,1.4,13514,15,0.47,58614,73359,12252,"[0.85, 0.15, 0]","[0.01, 0.99, 0]","[0, 0, 1.0]","[0.59, 0.41, 0]","[0, 1.0, 0.0]","[0, 0.8, 0.2]","[0, 0.96, 0.04]"
Skylar,Goldlane,Roger,16.0,14123,15,0.84,52996,50922,14855,"[0, 0.1, 0.9]","[0, 0.95, 0.05]","[0, 0, 1.0]","[0, 0.49, 0.51]","[0.12, 0.88, 0]","[0.11, 0.89, 0]","[0, 0.81, 0.19]"
Caderaa,Goldlane,Karrie,3.2,13684,15,0.62,69603,77003,6643,"[0.55, 0.45, 0]","[0, 0.99, 0.01]","[0, 0, 1.0]","[0.15, 0.85, 0]","[0, 0.85, 0.15]","[0, 0.76, 0.24]","[0.42, 0.58, 0]"
Skylar,Goldlane,Roger,7.0,16099,15,0.61,59895,69160,11653,"[0, 0.95, 0.05]","[0, 0.79, 0.21]","[0, 0, 1.0]","[0.18, 0.82, 0]","[0, 0.98, 0.02]","[0, 0.85, 0.15]","[0, 0.99, 0.01]"
Caderaa,Goldlane,Karrie,5.0,15968,15,0.71,70532,54030,11979,"[0.25, 0.75, 0]","[0, 0.81, 0.19]","[0, 0, 1.0]","[0, 0.88, 0.12]","[0, 0.83, 0.17]","[0.04, 0.96, 0]","[0, 0.97, 0.03]"
Skylar,Goldlane,Roger,8.0,16633,15,0.8,40718,59830,23026,"[0, 0.86, 0.14]","[0, 0.75, 0.25]","[0, 0, 1.0]","[0, 0.61, 0.39]","[0.41, 0.59, 0]","[0, 0.95, 0.05]","[0, 0.33, 0.67]"
Kabuki,Goldlane,Karrie,13.0,19841,15,0.5,132452,67163,16025,"[0, 0.38, 0.62]","[0, 0.49, 0.51]","[0, 0, 1.0]","[0.5, 0.5, 0]","[0, 0, 1.0]","[0, 0.87, 0.13]","[0, 0.74, 0.26]"
Branz,Goldlane,Roger,4.0,25905,15,0.8,130103,118383,9999,"[0.42, 0.58, 0]","[0, 0, 1.0]","[0, 0, 1.0]","[0, 0.61, 0.39]","[0, 0.03, 0.97]","[0, 0.29, 0.71]","[0.13, 0.87, 0]"
Kabuki,Goldlane,Claude,5.0,11471,15,0.45,54244,36607,3909,"[0.25, 0.75, 0]","[0.27, 0.73, 0]","[0, 0, 1.0]","[0.65, 0.35, 0]","[0.09, 0.91, 0]","[0.46, 0.54, 0]","[0.66, 0.34, 0]"
Branz,Goldlane,Roger,7.0,13497,15,0.7,50126,41329,14568,"[0, 0.95, 0.05]","[0.01, 0.99, 0]","[0, 0, 1.0]","[0, 0.91, 0.09]","[0.19, 0.81, 0]","[0.34, 0.66, 0]","[0, 0.82, 0.18]"
Kabuki,Goldlane,Roger,1.3,7948,12,1.0,20059,41824,0,"[0.87, 0.13, 0]","[0.74, 0.26, 0]","[0.57, 0.43, 0]","[0, 0, 1.0]","[0.89, 0.11, 0]","[0.33, 0.67, 0]","[1.0, 0, 0]"
Branz,Goldlane,Claude,3.0,10479,14,0.33,23903,14293,23028,"[0.58, 0.42, 0]","[0.4, 0.6, 0]","[0.14, 0.86, 0]","[1.0, 0, 0]","[0.8, 0.2, 0]","[1.0, 0, 0]","[0, 0.33, 0.67]"
Cw,Goldlane,Moskov,15.0,15647,15,0.75,83620,35300,24947,"[0, 0.19, 0.81]","[0, 0.83, 0.17]","[0, 0, 1.0]","[0, 0.76, 0.24]","[0, 0.66, 0.34]","[0.49, 0.51, 0]","[0, 0.22, 0.78]"
Caderaa,Goldlane,Natan,3.0,12789,15,0.63,55343,45036,2777,"[0.58, 0.42, 0]","[0.1, 0.9, 0]","[0, 0, 1.0]","[0.12, 0.88, 0]","[0.07, 0.93, 0]","[0.25, 0.75, 0]","[0.76, 0.24, 0]"
Cw,Goldlane,Roger,7.5,15987,15,0.79,76645,102493,7144,"[0, 0.91, 0.09]","[0, 0.8, 0.2]","[0, 0, 1.0]","[0, 0.64, 0.36]","[0, 0.75, 0.25]","[0, 0.47, 0.53]","[0.38, 0.62, 0]"
Caderaa,Goldlane,Moskov,13.0,16558,15,0.72,104446,60842,12755,"[0, 0.38, 0.62]","[0, 0.76, 0.24]","[0, 0, 1.0]","[0, 0.85, 0.15]","[0, 0.38, 0.62]","[0, 0.94, 0.06]","[0, 0.93, 0.07]"
